post_id,external_id,date,fraud_score,fraud_keywords,fraud_keyword_count,cta_phrases,cta_count,has_price_claim,price_value,has_medical_claim,medical_specificity_score,tier_recommendation
6266,3700,2022-12-26,100,energy|energy,2,watch|watch|watch|watch|watch|live|live|live|live|membership,27,False,0,False,0.0,CRITICAL
6264,3677,2022-12-23,100,healing|healing|healing|healing|healing|healing|healing|energy|energy|energy,10,join|join|watch|watch|watch|watch|watch|live|live|membership,33,False,0,True,0.3333333333333333,CRITICAL
6485,3465,2022-11-19,100,healing|healing|healing,3,join|watch|watch|watch|watch|watch|watch|watch|live|check it out,10,False,0,True,0.0,CRITICAL
6227,3715,2022-12-28,100,energy,1,join|join|watch|watch|watch|watch|watch|watch|live|live,21,False,0,False,0.0,CRITICAL
6211,3731,2022-12-31,100,energy,1,join|watch|watch|watch|watch|watch|watch|watch|watch|live,16,False,0,False,0.0,CRITICAL
6212,3751,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
6213,3733,2022-12-31,100,healing|healing|healing|energy|energy|frequency,6,join|watch|watch|watch|watch|watch|watch|watch|watch|live,16,False,0,True,0.6666666666666666,CRITICAL
6214,3739,2022-12-31,100,healing|healing|healing|healing|healing|energy|frequency,7,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
6215,3729,2022-12-30,100,energy,1,join|watch|watch|watch|watch|watch|watch|watch|watch|live,16,False,0,False,0.0,CRITICAL
6216,3725,2022-12-30,100,energy,1,join|join|watch|watch|watch|watch|watch|live|live|live,17,False,0,False,0.0,CRITICAL
6217,3738,2022-12-31,100,healing|healing|healing|healing|healing|energy|frequency,7,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
6218,3727,2022-12-30,100,energy,1,join|join|watch|watch|watch|watch|watch|watch|live|live,16,False,0,False,0.0,CRITICAL
6219,3726,2022-12-30,100,energy,1,join|join|watch|watch|watch|watch|watch|watch|live|live,18,False,0,False,0.0,CRITICAL
6220,3735,2022-12-31,100,healing|healing|healing|healing|healing|energy|energy|frequency,8,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,15,False,0,True,0.6666666666666666,CRITICAL
